City,State,Geo.ID,Percent of GDP based on water intensive industries_2015,Percentage of workforce in Farming Fishing and Forestry 2015,Existence of drought management plans_2015,Existence of water management plan_2015,Baseline water stress_2014,Readiness to accept adaptation investment_2015,Tax incentives for renewable energy_2015,Total number of federal public corruption convictions by district_2015,Civic engagement_2010,General innovation capabilities_2015,Estimated percent of adults who think global warming is already harming people in the US now or within 10 years_2014,Percent of population with less than 12th grade education_2015,Population density_2015,Water quality_2015,City debt_2010,Percent of population in floodzone_2015,Percent of buildings in floodzone_2015,Percent of cars in floodzone_2015,Percent of area that is impervious surface_2011,Number of acute care hospital beds available per 1000 residents_2015,Percent of population that is 65 years old or older living alone_2015,Percent of population that is 5 years old or younger_2015,Percent of population with health insurance_2015,Percent of buildings built before 1999_2015,Percent of population residing in the mobile homes_2015,Percent of population spending over 50 percent of income on rent_2015,Percent of land covered by tree canopy_2011,Percent of houses with heating_2015,Percent of population with a disability_2015,Percent of population in poverty_2015,Percent of buildings built before 1979_2015,Outdoor workers_2015,Percent of households without access to a vehicle_2015,Percent of population in 1ft sea level rise zone_2015,Percent of population in 3ft sea level rise zone_2015,Average economic impact of 1ft sea level rise_2015,Average economic impact of 3ft sea level rise_2015,,Latitutde,Longitude,County,Region, City Area_KM,2010 Population,2011 Population,2012 Population,2013 Population,2014 Population,2015 Population,Median Income
Arlington,TX,1600000US4804000,17.66200426,0.164644898,Yes,Yes,2.765091863,20,0,48,0.50361083,0.000247581,42,15.3,1470.030653,13,971.62,8.02,8.39,5.710680273,34.77356102,2.330689252,6.2694308,7.4,78.3,84.26,1.5,24.5,20.62513647,0.998,10.1,14.1486309,38.2,12.47,4.9,#N/A,#N/A,,,,32.7357,-97.1081,Tarrant,South,258.3048177,359410,363933,367154,371267,375305,379716,53326
Arvada,CO,1600000US0803455,10.10084277,0.154204589,No,Yes,5,0,0,0,0.944578945,0.000762206,41,5.8,1218.670299,3,824.18,8.28,8.38,47.12853864,25.68655121,0,10.5502634,5.6,92.2,86.63,0.4,23.7,7.671764923,0.997,10.3,5.9621204,60.3,9.16,4,#N/A,#N/A,,,,39.8028,-105.0875,Jefferson,Southwest,91.62281228,104885,105768,106965,108300,109800,111658,69938
Atlanta,GA,1600000US1304000,9.549572887,0.072447172,No,Yes,2.0140275,20,4,22,0.438405655,0.000645389,51,11,1296.661199,3,13367.51,6,5.65,6.845902019,28.42692914,6.172853257,10.1092455,6.1,84.1,73.18,0.6,26.1,52.32129808,0.996,11.7,18.0325046,54.3,6.92,16.8,#N/A,#N/A,,,,33.749,-84.388,Fulton,Southeast,346.1976039,413462,419250,425931,432589,440641,448901,47527
Aurora (CO),CO,1600000US0804000,10.10084277,0.168726911,No,No,5,0,4,0,0.677642775,0.000414262,44,13.5,868.5128575,2,989.5,6.21,6.54,12.32817485,18.75725193,4.241514802,7.5489192,7.8,81.8,80.36,1.7,26.8,2.91577587,0.996,10.2,12.5476695,44,14.94,6.9,#N/A,#N/A,,,,39.7294,-104.8319,Arapahoe/Adams/Douglas,Central,398.2289922,314092,320166,326249,332820,339480,345867,53011
Aurora (IL),IL,1600000US1703012,13.92166333,0.168880416,No,Yes,3.97435573,0,0,16,0.601364357,0.000342932,41,23.8,1706.270032,0,557.98,3.24,3.18,4.073951252,39.20365,2.507302581,5.4484206,8,84.7,81.02,0.2,24.6,9.094849365,0.998,6.8,15.5820274,49.9,15.45,4.9,#N/A,#N/A,,,,41.7606,-88.3201,DuPage,Southwest,117.5745904,190437,194053,196569,198726,199878,200614,63090
Austin,TX,1600000US4805000,15.85590543,0.113527043,Yes,Yes,2.32506553,21,3,29,0.663104991,0.000709672,49,12.5,1109.741999,0,1567.12,10.01,9.56,9.90045714,23.9999328,2.894953109,5.4098151,6.9,81.8,74.99,1.4,23.8,41.75665261,0.997,8.7,10.4562992,37.8,10.88,6.6,#N/A,#N/A,,,,30.2672,-97.7431,Travis,South,799.3398476,764129,782149,799939,836800,864218,887061,57689
Bakersfield,CA,1600000US0603526,31.56660806,3.555204037,No,Yes,5,0,1,14,0.600348669,9.82E-05,44,20.4,984.2508664,0,163.22,3.02,3.28,3.155906967,27.06494302,3.649494516,6.5955763,8.7,85.8,71.15,2.1,27,2.64315425,0.984,10.1,15.0205889,40.4,16.84,6.4,#N/A,#N/A,,,,35.3733,-119.0187,Kern,West,369.4302057,331868,339761,347091,352918,358700,363612,57095
Baltimore,MD,1600000US2404000,8.043724791,0.04945927,No,No,4.806378946,19,2,31,0.529699691,0.000106032,54,17.5,2986.714635,4,2738.25,3.23,3.18,3.497948782,46.79912009,8.072885707,11.3696402,6.7,89.7,95.6,0.1,27.6,18.43458445,0.994,15.3,26.6238216,87.6,11.28,29.8,0.229414543,0.395852545,0.000739167,0.001110872,,39.2904,-76.6122,Baltimore,Northeast,208.4075903,620538,620210,620644,621445,622271,622454,42241
Baton Rouge,LA,1600000US2205000,28.56999868,0.183653026,No,No,0,0,0,9,0.578165166,0.000146169,44,13.3,1106.519923,3,1934,26.54,26.13,26.21283572,35.34768858,6.920143464,9.5302681,6.5,84.7,88.33,1,31.3,30.99634533,0.995,14.7,20.6214115,66.9,12.65,10.1,1.488310804,2.930807292,0.008923914,0.020616119,,30.4583,-91.1403,East Baton Rouge Parish,South,207.1232476,229158,229169,229174,229400,229353,229186,39876
Bayam<U+0086>n,PR,1600000US7206593,3.04482,0.189485959,No,No,5,2,13,13,0.70365,0,0,21.1,2266.145282,13,953.4082,8.46,8.58,7.771115276,0,6.550034044,11.6407008,5.1,92.9,92.53,0.1,22.8,32.44925938,0.242,24.5,28.6625676,68.8,9.42,14.7,0.086658526,0.132801378,3.52E-05,3.52E-05,,18.3692,-66.166,Bayam<U+0086>n,Southeast,78.41906757,192215,189431,186708,184236,181542,177709,24703
Beaumont,TX,1600000US4807000,48.83758672,0.145172517,No,No,2.478363411,19,0,3,0.593819677,5.93E-05,41,15.1,522.6326746,5,1553.81,100,100,0.982840801,24.08736807,7.52914783,12.6426082,7.2,77.9,82.68,1.7,26.1,34.53382984,0.997,13.8,19.9857121,62.7,15.3,11.2,14.10822938,16.00071382,0.002390877,0.002985705,,30.0802,-94.1266,Jefferson,South,225.1600517,116054,117030,117769,117478,117543,117676,40992
Bellevue,WA,1600000US5305210,14.90240839,0.139795639,No,No,2.719952662,21,0,5,0.687372829,0.002031034,49,4.6,1408.113008,0,1265.53,12.01,10.27,12.34260832,33.06604043,2.5031568,8.713295,5.9,91.3,84.32,0.2,16.5,28.70098506,0.997,8.3,6.5275933,54.1,4.87,6.2,0.892074575,0.892817351,0.000820292,0.000896682,,47.6101,-122.2015,King,Northwest,95.61022389,119454,121134,122873,129209,132268,134630,94638
Berkeley,CA,1600000US0606000,10.49677557,0.154680356,Yes,No,5,19,1,12,0.815422598,0.001952702,55,4.3,4345.070849,0,1103.39,2.22,2.17,1.982431667,48.11604906,3.543924215,11.7995514,3.5,93.3,94.5,0.3,31.6,18.52766785,0.971,8.4,4.6170264,87.4,4.18,20.9,0.017890002,0.03322429,0.000153994,0.000192492,,37.8716,-122.2727,Alameda,West,27.01543981,109408,111008,112662,114037,115688,117384,66237
Billings,MT,1600000US3006550,1.106104056,0.34138278,Yes,No,5,19,0,8,0.744043584,7.81E-05,39,7.2,956.1345228,0,472.18,2.63,2.44,2.744577247,39.20263733,5.826104648,11.9658895,6.5,85.7,83.66,6.6,22.8,9.144182259,0.998,12.8,11.2287943,61,12.97,5.9,#N/A,#N/A,,,,45.7833,-108.5007,Yellowstone,Northern Rockies & Plains,113.0949646,101549,102982,104374,105864,106979,108134,51012
Birmingham,AL,1600000US0107000,16.67212833,0.127001406,No,No,0,19,0,13,1.234790677,8.80E-05,43,14.9,552.3298886,1,2594.12,7.1,7.05,6.854370556,23.48960406,16.75690704,10.3976793,6.9,83.8,91.11,0.8,29.8,48.94734368,0.998,16.8,26.0781132,76.1,13.99,14.8,#N/A,#N/A,,,,33.5207,-86.8025,Jefferson,Southeast,384.2106038,216392,214348,213180,212295,211705,212211,31061
Boise City,ID,1600000US1608830,15.56919827,0.280030016,No,No,3.821073072,0,1,3,0.724531439,0.001652691,38,5.7,1037.915619,12,880.38,5.82,6.27,6.118612281,23.79478564,5.569665166,9.7323853,6,87.5,84.99,3.6,25,3.826893193,0.997,11.1,11.839017,48.8,8.89,6.2,#N/A,#N/A,,,,43.6187,-116.2146,Ada,Northwest,206.3713043,206481,207560,208332,209726,211655,214196,50323
Boston,MA,1600000US2507000,0.099105029,0.117801312,No,No,3.352415395,21,15,16,0.525765519,0.001015919,56,14.8,5126.189706,0,2198.74,11.94,11.94,13.63934621,60.45104415,9.542028754,10.1149461,5.4,95.3,92.01,0.1,25.3,19.32029089,0.992,12.1,20.0628965,82,9.14,35.2,3.662416709,4.219099128,0.031186718,0.035814932,,42.3601,-71.0589,Suffolk,Northeast,126.8546498,602609,609942,619662,629182,639594,650281,55777
Bridgeport,CT,1600000US0908000,9.990497827,0.152132086,No,No,4.094523588,16,0,6,0.602629234,0.000676608,45,24.4,3537.968873,0,5010.98,24.19,25.81,27.93251472,57.60240267,5.809691869,9.4784283,7.2,80.6,96.72,0.1,34.1,18.61278517,0.996,12.1,29.2592372,85.8,18.4,20.9,4.022668658,4.814714266,0.003683477,0.004430377,,41.1865,-73.1952,Fairfield,Northeast,41.64536356,142576,143412,144446,145587,146680,147340,41801
Brownsville,TX,1600000US4810768,12.5656926,0.535293591,No,No,2.744568605,18,0,11,0.397502335,3.11E-05,47,35.9,461.1961562,0,2451.51,22.79,23.38,22.60164037,13.58556543,2.947869544,8.0134981,8.8,65.4,69.77,4.6,26.4,16.26789153,0.986,12.5,29.0208095,34.6,15.03,10,0.094221625,0.720161775,0.000630237,0.004819456,,25.9017,-97.4975,Cameron,South,393.5136873,169599,172491,175210,177795,179834,181487,32894
Buffalo,NY,1600000US3611000,16.24758017,0.092883812,No,No,0.345779545,17,0,17,0.55861366,0.00024523,43,17.3,2455.493118,6,2358.51,1.47,1.46,84.01124684,55.06728939,8.099662065,11.2873025,6.6,91.5,97.83,0.2,31.2,11.59938918,0.995,16.5,34.7565333,93,10.74,29.3,#N/A,#N/A,,,,42.8864,-78.8784,Erie,Northeast,105.6883434,266012,263914,261955,260568,259959,259517,31918
Burbank,CA,1600000US0608954,10.45625624,0.050441833,No,No,5,0,0,53,0.261410889,0.000361114,48,11.3,2335.577018,0,3710.44,5.9,5.17,14.41477635,45.77947734,4.258772977,10.304393,6.1,86.8,93.52,0.1,28.6,8.2617867,0.975,10.6,5.1787916,75.8,6.54,8.1,#N/A,#N/A,,,,34.1808,-118.309,Los Angeles,West,44.83902659,102723,103037,103420,103850,104484,104725,66076
Burlington,VT,1600000US5010675,9.719959662,0.63341251,No,No,1.266448769,15,0,1,0.929990539,0.002191458,46,11,1062.846061,0,4596.08,35.98,38.66,41.08846374,19.94089013,13.20178529,10.951526,3.2,94.4,96.12,1,31.5,22.86678632,0.998,11.7,17.6437813,78.6,9,15.2,#N/A,#N/A,,,,44.4759,-73.2121,Chittenden,Northeast,40.05283695,41935,42192,42259,42331,42342,42570,44671
Cambridge,MA,1600000US2511000,0.099105029,0.03174704,No,Yes,3.352415395,21,13,16,0.752106084,0.002221557,46,5.7,5907.73601,0,2500.79,7.4,6.03,7.660051332,59.15223662,4.003113533,10.7120842,4.3,97.3,90.27,0,22.5,17.52340197,0.975,6.9,8.5568823,78.8,2.58,30.6,#N/A,#N/A,,,,42.3736,-71.1097,Middlesex,Northeast,18.26689612,103506,104322,105026,105737,106844,107916,79416
Cape Coral,FL,1600000US1210275,5.850098619,0.183662635,No,No,2.355087961,0,0,27,0.677387948,0.000128075,44,9.6,543.8760063,8,1284.65,37.66,42.07,39.55231313,20.84504152,1.754671587,9.8953652,5,81.6,56.56,0.6,24.4,17.98576532,0.988,12.3,12.6697984,18.7,12.78,3.8,8.594272897,16.29975338,0.075376039,0.145612802,,26.5629,-81.9495,Lee,Southeast,304.927958,149787,152817,155405,158415,161804,165843,50536
Carlsbad,CA,1600000US0611194,11.9488786,0.258769967,No,Yes,5,0,1,7,0.722688523,0.001694023,45,4.2,1121.412692,0,931.68,6.99,7.73,5.303914897,38.89178609,3.582062618,9.6281928,5.8,92.2,76.28,2.5,23.9,6.596281263,0.984,7.9,2.7879694,33.3,5.51,3.6,2.349544347,3.141748624,0.004691893,0.005519741,,33.1581,-117.3506,San Diego,West,98.83069883,99753,102342,105097,107307,109296,110830,90597
Carolina,PR,1600000US7214290,3.863048,0.12359242,No,No,5,2,13,13,0.67238,5.95E-06,0,16.4,2162.177426,0,1214.006,35.66,37.33,37.96731708,0,8.167896385,11.4246622,5.3,90.9,89.6,0.2,19.2,25.43,0.221,21.9,26.8821618,67.5,9.84,14.8,7.765141462,12.20473486,0.000345003,0.000986273,,18.3803,-65.9626,Carolina,Southeast,69.70380791,162865,161232,159642,157717,154770,150712,28481
Carrollton,TX,1600000US4813024,17.66200426,0.076357466,No,No,2.765091863,20,0,18,0.800814617,0.000471407,43,14.7,1324.242484,2,1095.18,12.52,12.67,12.60398828,46.82551435,2.710580693,5.2338555,6.5,77.8,84.62,0.6,16.6,13.00360443,0.998,6.9,6.2633939,31.2,10.66,2.3,#N/A,#N/A,,,,32.9756,-96.89,Denton/Dallas/Collin,South,96.11457234,117712,119104,120727,122613,124501,127279,69368
Cedar Rapids,IA,1600000US1912000,24.81563016,0.285976918,Yes,No,2.996812732,20,0,4,0.571820629,0.000835487,40,6.5,695.9934855,0,1961.86,15.47,15.78,14.81936794,26.52590085,7.901947543,10.429793,6.9,92.9,84.17,3.5,21.9,13.44299189,0.995,11,14.8758626,63,10.83,6.8,#N/A,#N/A,,,,41.9779,-91.6656,Linn,Upper Midwest,185.1008705,125450,126306,126921,127420,128009,128829,53581
Centennial,CO,1600000US0812815,10.10084277,0.121406892,No,Yes,5,0,0,0,0.968144733,0.000414262,44,2.4,1441.328514,0,17.61,5.98,5.42,4.146054891,30.16271737,0.17822971,7.4658254,5.5,93.7,93.22,0.2,22.6,8.938589312,0.999,7.4,3.2879382,45.7,6.07,2.3,#N/A,#N/A,,,,39.5807,-104.8772,Arapahoe,Southwest,73.96231946,99999,100643,101339,102625,104213,106604,91941
Chandler,AZ,1600000US0412000,11.40665915,0.165017774,Yes,Yes,4.533400391,21,2,18,0.710638581,0.000429552,44,8.5,1498.632466,11,1447.9,1.95,1.92,1.276678946,38.57828016,1.446830961,5.9074101,7.3,89.7,67.83,2,17.2,2.221061929,0.996,8.1,7.9023974,12.7,7.13,3.6,#N/A,#N/A,,,,33.3062,-111.8413,Maricopa,Southwest,166.9535431,229531,233509,237456,241096,245231,250202,72695
Charleston (SC),SC,1600000US4513330,11.72533711,0.153727902,No,No,2.567337477,21,1,3,0.672570807,9.65E-05,43,6.4,427.1036087,8,5424.08,15.25,15.89,4.580696502,10.09368363,11.12816577,9.8036225,6.1,88.6,72.51,1.1,28,42.64404528,0.997,9.7,9.3040991,46,7.85,9.5,49.71494354,62.66465143,0.073037352,0.392113886,,32.7765,-79.9311,Charleston,Southeast,298.9766357,116347,118401,120903,123267,125458,127694,55546
Charleston (WV),WV,1600000US5414600,2.124087591,0.117775721,No,No,0.67651765,0,0,2,0.710022587,6.81E-05,40,8.1,604.2979817,0,573.74,58.66,60.63,14.72322926,19.13123284,17.24478899,14.214179,5.5,89,96.18,0.4,21.5,52.64641478,0.997,17.9,17.1615567,83.5,8.01,14.4,#N/A,#N/A,,,,38.3498,-81.6326,Kanawha,Ohio Valley ,83.67726111,51432,51360,51224,51135,50911,50566,48442
Charlotte,NC,1600000US3712000,14.00093147,0.111316145,Yes,Yes,2.616555943,21,0,4,0.723248094,0.000278707,47,11.6,1027.238376,3,3165.14,6.56,6.21,6.813668481,26.13745333,2.919949453,6.7567302,7.2,83.7,73.23,1.4,23.2,47.76961844,0.997,9.1,14.0296837,36.3,11.47,7.8,#N/A,#N/A,,,,35.2271,-80.8431,Mecklenburg,Southeast,771.1326,705896,722234,740931,757278,774807,792137,53637
Chattanooga,TN,1600000US4714000,18.83496746,0.296325052,No,No,0.532987,15,0,8,0.456473602,0.000106285,44,14.8,468.9308657,0,2752.71,17.63,17.94,17.98874963,21.05104114,8.201372053,11.9240189,6.2,86.4,86.7,1.9,24.8,46.15372687,0.997,15.4,21.0457367,65.8,11.88,11.7,#N/A,#N/A,,,,35.0456,-85.3097,Hamilton,Ohio Valley ,372.0868315,164481,166298,167869,170246,171863,174483,40177
Chesapeake,VA,1600000US5116000,1.501617957,0.208583051,No,Yes,2.953234493,20,1,40,0.721032253,4.34E-05,49,8.9,256.1090336,0,2222.96,22.74,23.4,25.75596365,6.648857464,1.344313338,6.8573812,6.3,91.3,82.49,2.4,24.2,54.06471565,0.995,9.6,9.4531269,37.3,11.6,4.1,13.49647226,17.51553549,0.037882025,0.056486762,,36.7682,-76.2875,Norfolk,Southeast,900.401664,219268,220837,223233,225597,228168,230601,68620
Cheyenne,WY,1600000US5613900,9.115329512,0.25922037,No,No,5,0,0,0,0.785122628,0.000188618,38,6.6,984.436153,0,1562.18,3.54,3.78,3.633050669,34.94073176,4.276871131,10.5252686,6.4,89,84.44,3.7,17.9,3.586232682,0.996,12,9.2717867,65.9,12.38,5.3,#N/A,#N/A,,,,41.14,-104.8202,Laramie,Northern Rockies & Plains,63.17829735,57935,58640,59582,60528,61470,62195,58219
Chicago,IL,1600000US1714000,13.92166333,0.097022289,Yes,No,3.97435573,11,9,16,0.539464562,0.000312429,51,17.7,4581.045338,3,5212.48,1.72,1.81,2.053823361,61.22644731,3.644848602,9.2733882,6.8,83.2,90.71,0.2,26.5,6.985336564,0.987,10.8,20.692346,82.3,10.89,26.9,#N/A,#N/A,,,,41.8781,-87.6298,Cook,Ohio Valley ,593.2126403,2703466,2700741,2702471,2706101,2712608,2717534,48522
Chula Vista,CA,1600000US0613392,11.9488786,0.208255126,No,No,5,0,1,7,0.478857388,0.001694023,45,19.1,1989.77331,0,1308.74,6.79,6.48,4.555488052,40.72026929,2.293078789,7.6230369,6.8,86.2,75.84,4.6,33.2,3.922328,0.976,9.1,9.4432916,48.3,10.94,5.6,0.858544245,1.016339158,4.51E-06,5.68E-06,,32.6401,-117.0842,San Diego,West,129.3092026,229614,236218,242499,248048,253031,257296,65185
Cincinnati,OH,1600000US3915000,1.5287595,0.084445815,No,No,0.052951277,19,3,12,0.788195999,0.00033574,43,14.2,1459.389881,0,2019.58,17.3,15.08,19.37914045,31.12771431,10.61880248,10.6322206,7.2,87.5,95.29,0.2,26.8,34.03194063,0.989,14.3,24.5138644,86.7,10.61,21.5,#N/A,#N/A,,,,39.1031,-84.512,Hamilton,Ohio Valley ,203.7817337,300165,298446,297314,297150,297117,297397,33604
Clarksville,TN,1600000US4715160,13.18691333,0.174133865,No,No,0.69764122,19,0,5,0.548216381,1.08E-05,38,7.8,569.3499328,0,1551.36,10.67,10.88,21.88210538,13.905698,2.165466724,5.3036156,9,88.3,65.63,3.4,18.2,28.66395211,0.995,13.8,15.8220025,31.9,11.14,5.1,#N/A,#N/A,,,,36.5298,-87.3595,Montgomery,Ohio Valley ,252.2490857,126148,129778,133583,137145,140563,143618,46947
Clearwater,FL,1600000US1212875,8.723979737,0.343892867,No,No,3.165851539,0,0,27,0.978696573,0.000274832,45,10.7,1579.822034,4,2213.17,20.95,24.35,22.96032997,41.43985737,4.747193811,16.4316304,6,81.5,92.25,5.3,28.3,21.15384006,0.987,14.3,14.7921443,62.8,10.35,11.8,7.261213433,10.18291191,0.092789618,0.119798827,,27.9659,-82.8001,Pinellas,Southeast,69.86926223,108044,107809,108138,108551,109210,110381,44198
Cleveland,OH,1600000US3916000,16.53794072,0.100476585,No,No,3.368071252,17,1,18,0.676929209,0.000397407,43,22.6,1948.159071,4,6977.94,3.33,3.06,4.309218203,50.32418704,13.44397108,12.111909,6.7,85.8,95.6,0.5,29.5,12.10486848,0.992,19.7,36.3620586,90.4,13.93,25.5,#N/A,#N/A,,,,41.4993,-81.6944,Cuyahoga,Ohio Valley ,200.4887619,409221,403163,397972,394335,392114,390584,26150
Colorado Springs,CO,1600000US0816000,0.844221106,0.166553998,No,Yes,5,0,0,0,0.684586682,0.000299226,41,6.9,885.2930063,0,3954.4,4.56,4.39,3.802359046,21.14091892,2.766717944,8.7261596,7,88,80.38,2.1,23,8.852746626,0.997,12.1,11.7432255,45.8,9.97,5.7,#N/A,#N/A,,,,38.8339,-104.8214,El Paso,Southwest,499.3149125,403983,410688,417534,425805,433547,442040,54527
Columbia (MO),MO,1600000US2915670,7.358785981,0.607394791,No,No,0,0,2,6,0.801047428,0.000193242,41,6.2,710.469263,0,1038.7,9.32,9.05,11.72744238,21.943447,9.706129594,6.5698294,6.2,92.4,71.3,2.1,32.5,22.2876512,0.995,8.9,10.5477079,39.6,7.49,7.7,#N/A,#N/A,,,,38.9517,-92.3341,Boone,Southeast,162.4151895,104620,106658,109008,111145,113155,115391,44907
Columbia (SC),SC,1600000US4516000,12.88767266,0.347154572,Yes,Yes,2.616555943,20,0,3,0.802772539,0.000110581,47,12.8,378.8790092,2,167.5,10.67,10.7,36.11730797,13.32829767,13.51945316,9.8278884,5.4,87.4,81.76,0.8,27.7,48.31612305,0.997,10.9,17.2763223,60.8,9.83,11.6,#N/A,#N/A,,,,34.0007,-81.0348,Richland,Ohio Valley ,348.285328,127605,128777,129757,131004,131331,131958,41260
Columbus (GA),GA,1600000US1319000,1.267297888,0.070036037,No,Yes,1.840256352,19,0,11,0.319077815,4.49E-05,46,13.6,349.2681554,0,NULL,9.21,8.85,24.55672987,11.40221127,5.542102504,10.1608026,7.5,84.7,79.82,1.6,22.9,55.67134225,0.997,18.4,19.73337,55.8,10.78,10.9,#N/A,#N/A,,,,32.461,-84.9877,Muscogee,Southeast,573.4419153,187629,188548,191278,194949,198247,200285,42306
