City,State,Geo.ID,Risk,Vulnerability,Exposure,Sensitivity,Adaptive Capacity,Readiness,Social,Governance,Economic,SLR in 2040,Projected Cost 1ft SLR
Richmond (CA),CA,1600000US0660620,0.34591022,0.520074672,0.171745769,0.485397238,0.445247894,0.522149062,0.648784522,0.519341938,0.398320725,0.82,89540500
Richmond (VA),VA,1600000US5167000,0.249570415,0.412798764,0.086342065,0.562144167,0.736546639,0.460151768,0.411260497,0.552069553,0.417125252,0.82,164627500
Riverside,CA,1600000US0662000,,0.477607627,,0.460898654,0.505683399,0.31714882,0.115588753,0.434181246,0.401676462,,
Rochester (MN),MN,1600000US2754880,,0.208056571,,0.401538058,0.985424916,0.735489105,0.911593432,0.707258146,0.587615737,,
Rochester (NY),NY,1600000US3663000,,0.414619748,,0.689020752,0.859781256,0.548974565,0.587501739,0.495981249,0.563440707,,
Rockford,IL,1600000US1765000,,0.450709276,,0.633992072,0.732573519,0.490213039,0.468038998,0.450072843,0.552527275,,
Roseville,CA,1600000US0662938,,0.295449191,,0.382543771,0.79164539,0.407103854,0.579923595,0.623992779,0.017395189,,
Sacramento,CA,1600000US0664000,,0.440058491,,0.545018578,0.664901597,0.345146817,0.214148354,0.683608811,0.137683286,,
Salem,OR,1600000US4164900,,0.500269461,,0.586788269,0.586249346,0.432602073,0.034671002,0.705083574,0.558051642,,
Salinas,CA,1600000US0664224,,0.713458197,,0.567689866,0.140773472,0.324397776,0.07314055,0.503192348,0.396860429,,
Salt Lake City,UT,1600000US4967000,,0.48626445,,0.469358703,0.496829802,0.526261361,0.282787737,0.655503078,0.640493268,,
San Antonio,TX,1600000US4865000,,0.439281292,,0.381195983,0.502633398,0.50610275,0.148603622,0.620492704,0.749211923,,
San Bernardino,CA,1600000US0665000,,0.625754955,,0.72015906,0.46864915,0.24822229,0.186961654,0.282120852,0.275584364,,
San Buenaventura,CA,1600000US0665042,0.283604871,0.559882826,0.007326916,0.638546836,0.518781184,0.283738681,0.441656923,0.40955912,0,0.95,89512100
San Diego,CA,1600000US0666000,0.220403829,0.409884955,0.030922702,0.413844699,0.594074789,0.605736509,0.602532726,0.725982669,0.488694131,0.89,212507121
San Francisco,CA,1600000US0667000,0.196001596,0.371469414,0.020533779,0.523149907,0.780211079,0.684463672,0.560023701,0.847178596,0.646188718,0.82,140537710
San Jose,CA,1600000US0668000,0.228314136,0.436678781,0.01994949,0.485573185,0.612215624,0.645898149,0.61492339,0.688501767,0.63426929,0.69,402617200
San Juan,PR,1600000US7276770,0.349255476,0.334806235,0.363704718,0.454525763,0.784913293,0.385985588,0.210725485,0.351624073,0.595607206,0.89,27851900
Santa Ana,CA,1600000US0669000,,0.742879397,,0.705125719,0.219366926,0.291458765,0.275412295,0.326476241,0.27248776,,
Santa Clara,CA,1600000US0669084,0.186676609,0.363334097,0.010019121,0.421592624,0.694924431,0.514886758,0.575746028,0.745757046,0.223157201,0.69,12291200
Santa Clarita,CA,1600000US0669088,,0.387744698,,0.379159315,0.603669919,0.345080214,0.198670978,0.513634658,0.322935005,,
Santa Rosa,CA,1600000US0670098,,0.45155831,,0.529103979,0.625987359,0.429459843,0.447805412,0.696336112,0.144238006,,
Savannah,GA,1600000US1369000,0.477751729,0.457706271,0.497797188,0.529095416,0.613682874,0.446266152,0.080288444,0.699720658,0.558789354,1.15,286235600
Scottsdale,AZ,1600000US0465000,,0.26595734,,0.272755073,0.740840392,0.60728008,0.38946743,0.734318672,0.698054139,,
Seattle,WA,1600000US5363000,0.55111714,0.356737678,0.745496603,0.391475445,0.678000089,0.759017637,0.752807785,0.885881536,0.638363589,0.75,1524939000
Shreveport,LA,1600000US2270000,,0.544789283,,0.600848539,0.511269973,0.4649911,0.281249445,0.64665205,0.467071804,,
Simi Valley,CA,1600000US0672016,,0.527542319,,0.351140286,0.296055647,0.389418974,0.352383833,0.433985077,0.381888012,,
Sioux Falls,SD,1600000US4659020,,0.293167017,,0.419521274,0.83318724,0.437545872,0.373764054,0.629366798,0.309506764,,
South Bend,IN,1600000US1871000,,0.530126449,,0.644955296,0.584702398,0.402283358,0.490741395,0.487700171,0.22840851,,
Spokane,WA,1600000US5367000,,0.404606844,,0.591814205,0.782600517,0.559129455,0.35800334,0.740868925,0.578516102,,
Springfield (IL),IL,1600000US1772000,,0.36484732,,0.615255101,0.885560461,0.533423591,0.495305977,0.679144882,0.425819916,,
Springfield (MA),MA,1600000US2567000,,0.550703259,,0.706827569,0.605421051,0.43469248,0.30641335,0.395353302,0.602310788,,
Springfield (MO),MO,1600000US2970000,,0.383512357,,0.526677684,0.759652971,0.505702796,0.409745149,0.601641436,0.505721804,,
St. Louis,MO,1600000US2965000,,0.458883816,,0.668402565,0.750634933,0.536212474,0.399960761,0.766436733,0.442239927,,
St. Paul,MN,1600000US2758000,,0.403828089,,0.582014754,0.774358576,0.653543029,0.563688928,0.741242586,0.655697573,,
St. Petersburg,FL,1600000US1263000,0.495227317,0.467601297,0.522853337,0.562957428,0.627754835,0.44461467,0.439717453,0.643612315,0.250514242,1.08,2910163700
Stamford,CT,1600000US0973000,0.268033517,0.435131068,0.100935967,0.435318974,0.565056838,0.558631895,0.537240516,0.711031703,0.427623467,1.25,203976100
Sterling Heights,MI,1600000US2676460,,0.350899559,,0.535455202,0.833656084,0.461112059,0.445486531,0.544870966,0.39297868,,
Stockton,CA,1600000US0675000,,0.541066495,,0.567261652,0.485128662,0.395892638,0.146345705,0.532928083,0.508404125,,
Sunnyvale,CA,1600000US0677000,0.309792381,0.549467358,0.070117403,0.568418646,0.46948393,0.609705123,0.688351024,0.762307286,0.37845706,0.69,54962500
Surprise,AZ,1600000US0471510,,0.351635036,,0.338927228,0.635657155,0.447137797,0.407034642,0.621725132,0.312653618,,
Syracuse,NY,1600000US3673000,,0.474743877,,0.731726922,0.782239168,0.40576994,0.248536692,0.49704445,0.471728679,,
Tacoma,WA,1600000US5370000,0.316358715,0.607059338,0.025658091,0.53152223,0.317403553,0.430133407,0.3092183,0.672306157,0.308875765,0.75,130579100
Tallahassee,FL,1600000US1270600,,0.495949136,,0.359114352,0.36721608,0.465954013,0.500964141,0.687883855,0.209014043,,
Tampa,FL,1600000US1271000,0.36232807,0.324547985,0.400108155,0.432987768,0.783891797,0.401614748,0.432305431,0.613252255,0.159286559,1.08,736693000
Temecula,CA,1600000US0678120,,0.305726114,,0.228611997,0.617159769,0.354451172,0.230578876,0.520108889,0.312665753,,
Tempe,AZ,1600000US0473000,,0.634649055,,0.44846059,0.17916248,0.448551085,0.15720732,0.657883137,0.530562797,,
Thornton,CO,1600000US0877290,,0.397213536,,0.346317796,0.551890724,0.506756392,0.505945721,0.754048778,0.260274678,,
Thousand Oaks,CA,1600000US0678582,,0.338714035,,0.376779302,0.699351233,0.484701354,0.655832506,0.459680304,0.338591253,,
Toledo,OH,1600000US3977000,,0.502947949,,0.686506823,0.680610925,0.471459683,0.322365495,0.562642759,0.529370795,,
Topeka,KS,1600000US2071000,,0.419207135,,0.588142189,0.749727918,0.489303472,0.346763207,0.661770414,0.459376794,,
Torrance,CA,1600000US0680000,,0.495210533,,0.523387121,0.532966056,0.350724089,0.193809134,0.554439443,0.303923691,,
Tucson,AZ,1600000US0477000,,0.554177092,,0.595469071,0.487114886,0.599583538,0.337418887,0.675535443,0.785796283,,
Tulsa,OK,1600000US4075000,,0.438110817,,0.490827676,0.614606042,0.472237637,0.242901239,0.636678211,0.53713346,,
Vallejo,CA,1600000US0681666,0.571163532,0.499625345,0.642701719,0.593394647,0.594143957,0.319354341,0.193155129,0.613850411,0.151057483,0.69,29040100
Vancouver,WA,1600000US5374060,0.349916699,0.603039656,0.096793741,0.490569739,0.284490427,0.56869357,0.430358822,0.74234759,0.533374297,,
Victorville,CA,1600000US0682590,,0.597894347,,0.472934662,0.277145968,0.289290042,0.261457979,0.282579202,0.323832944,,
Virginia Beach,VA,1600000US5182000,0.414483425,0.418889643,0.410077207,0.297400779,0.459621492,0.469238388,0.159857618,0.640788745,0.607068801,1.35,3135324097
Visalia,CA,1600000US0682954,,0.419077334,,0.519946298,0.681791631,0.327525035,0.116316163,0.554371256,0.311887687,,
Waco,TX,1600000US4876000,,0.486446068,,0.50022765,0.527335514,0.375346653,0.30345269,0.252106859,0.570480411,,
Warren,MI,1600000US2684000,,0.536758578,,0.700652071,0.627134915,0.413131001,0.477624148,0.494138302,0.267630552,,
Washington,DC,1600000US1150000,0.206767677,0.33796987,0.075565485,0.528882671,0.85294293,0.529712519,0.282197456,0.903896258,0.403043843,1.21,155482400
Waterbury,CT,1600000US0980000,,0.654008064,,0.67538015,0.367364022,0.491355707,0.484325345,0.507682295,0.482059482,,
West Covina,CA,1600000US0684200,,0.406449948,,0.433220765,0.620320869,0.310579726,0.288948447,0.374130941,0.26865979,,
West Jordan,UT,1600000US4982950,,0.518769174,,0.315539351,0.278001003,0.472833823,0.391181541,0.710255535,0.317064391,,
West Palm Beach,FL,1600000US1276600,0.445502344,0.523481935,0.367522754,0.353338518,0.306374649,0.417229382,0.493993375,0.287237842,0.470456928,1.05,47415200
West Valley City,UT,1600000US4983470,,0.719829481,,0.544009271,0.104350309,0.319638533,0.205281642,0.486248955,0.267385001,,
Westminster,CO,1600000US0883835,,0.349906774,,0.324606448,0.624792899,0.538916325,0.612449834,0.77176347,0.23253567,,
Wichita,KS,1600000US2079000,,0.474634277,,0.524708286,0.575439732,0.511024615,0.240006675,0.60612548,0.68694169,,
Wichita Falls,TX,1600000US4879000,,0.526426396,,0.479149577,0.426296785,0.310395176,0.121128249,0.283337956,0.526719322,,
Wilmington (DE),DE,1600000US1077580,0.687834509,0.518288089,0.85738093,0.698900747,0.66232457,0.581270766,0.59660064,0.677913309,0.469298348,1.21,4554100
Wilmington (NC),NC,1600000US3774440,0.637243494,0.378696606,0.895790382,0.45281797,0.695424757,0.602949893,0.536086129,0.686189002,0.586574549,1.05,476872900
Winston-Salem,NC,1600000US3775000,,0.387440972,,0.487052442,0.712170498,0.580652704,0.559240278,0.649373352,0.533344481,,
Worcester,MA,1600000US2582000,,0.378131234,,0.586747657,0.830485189,0.432551793,0.3963471,0.493697256,0.407611022,,
Yonkers,NY,1600000US3684000,0.268033199,0.528220387,0.007846012,0.671344364,0.614903591,0.504108969,0.45109957,0.59609724,0.465130096,1.25,18331000
