City,State,Geo.ID,Risk,Vulnerability,Exposure,Sensitivity,Adaptive Capacity,Readiness,Social,Governance,Economic,Historical Average Cost of Flood Event,Projected Cost of Flood Event,Probability of Flood Event in 2040,Probability of a flood between 2019 and 2040
Huntington Beach,CA,1600000US0636000,0.402146369,0.469346104,0.334946634,0.551855846,0.613163639,0.539217591,0.562284129,0.519937182,0.535431463,33715.85714,825048.3279,0.0027322,0.054644
Huntsville,AL,1600000US0137000,0.301532456,0.333239766,0.269825145,0.35177914,0.685299608,0.552900799,0.598457739,0.579283892,0.480960766,1200.864865,789587.0378,0,0
Independence,MO,1600000US2935000,0.337836684,0.461012262,0.214661106,0.464894178,0.542869654,0.39149325,0.207994357,0.662141541,0.304343852,0,1670336.638,0.0027322,0.054644
Indianapolis,IN,1600000US1836003,0.252561971,0.436138799,0.068985144,0.489541637,0.617264039,0.514230256,0.273608648,0.699161914,0.569920205,8521.978261,1422441.617,0,0
Inglewood,CA,1600000US0636546,0.327002547,0.599450623,0.054554471,0.651239144,0.452337897,0.283695944,0.120456708,0.253773354,0.476857768,NA,1472179.721,0.0027322,0.054644
Irvine,CA,1600000US0636770,0.239796662,0.265055493,0.214537831,0.193433589,0.663322602,0.381780673,0.481709801,0.587151623,0.076480594,0,283671.1524,0.0027322,0.054644
Irving,TX,1600000US4837000,0.654494025,0.547130912,0.761857137,0.39595268,0.301690855,0.367307882,0.116861266,0.40564102,0.579421359,441831.9286,818564.705,0,0
Jackson,MS,1600000US2836000,0.567906445,0.382020704,0.753792185,0.533323769,0.769282361,0.48514008,0.413606531,0.621439469,0.42037424,20506.5,3722622.448,0,0
Jacksonville,FL,1600000US1235000,0.524402006,0.431343716,0.617460296,0.45055868,0.587871248,0.456647484,0.392626338,0.694954744,0.28236137,16501.37,646409.4582,0,0
Jersey City,NJ,1600000US3436000,0.46845251,0.538917331,0.39798769,0.525773312,0.447938649,0.462040644,0.091209232,0.707793981,0.58711872,0,398284.5362,0,0
Joliet,IL,1600000US1738570,0.282544712,0.338330856,0.226758567,0.327563894,0.650902181,0.429560362,0.531432974,0.453431438,0.303816675,58212.75,669684.0243,0.0027322,0.054644
Kansas City (KS),KS,1600000US2036000,0.309644941,0.467016794,0.152273088,0.542989381,0.608955792,0.314061111,0.377147551,0.498178239,0.066857544,0,887433.0476,0.0027322,0.054644
Kansas City (MO),MO,1600000US2938000,0.379011877,0.37654909,0.381474665,0.447255584,0.694157404,0.599923666,0.41517912,0.644128232,0.740463645,675.6756757,1044477.47,0.0027322,0.054644
Kent,WA,1600000US5335415,0.481912494,0.672750932,0.291074057,0.558741715,0.213239851,0.703088706,0.816324272,0.725844731,0.567097114,24280,1219143.198,0,0
Killeen,TX,1600000US4839148,0.435860228,0.548201459,0.323518996,0.292267014,0.195864096,0.311354369,0.152896508,0.474913741,0.306252858,36073.22222,1056540.869,0.0054645,0.10929
Knoxville,TN,1600000US4740000,0.458860041,0.312683354,0.605036727,0.46400352,0.838636812,0.538188501,0.585467403,0.584720309,0.44437779,285428.5714,808788.4664,0,0
Lafayette,LA,1600000US2240735,0.302635653,0.330804463,0.274466842,0.442389442,0.780780515,0.303475449,0.33346471,0.561616041,0.015345597,32036068.5,1762996.297,0,0
Lakewood,CO,1600000US0843000,0.238980386,0.432129266,0.045831505,0.442216108,0.577957575,0.572383802,0.685940025,0.721276704,0.309934677,3034115,1425378.074,0,0
Lancaster,CA,1600000US0640130,0.290896551,0.450989417,0.130803686,0.495777142,0.593798308,0.246175526,0.113599903,0.360373246,0.26455343,0,702410.5691,0.0027322,0.054644
Lansing,MI,1600000US2646000,0.361545552,0.373621226,0.349469879,0.622198755,0.874956303,0.530031413,0.531788898,0.625166003,0.433139339,495216.5,2710017.143,0.0054645,0.10929
Laredo,TX,1600000US4841464,0.405406504,0.688104787,0.12270822,0.474958349,0.098748774,0.363225293,0.018305034,0.491765828,0.579605018,119275,1245108.089,0.0027322,0.054644
Las Vegas,NV,1600000US3240000,0.305514114,0.459261537,0.15176669,0.402211987,0.483688913,0.50905944,0.175986714,0.654774745,0.696416861,188198.5667,2226129.361,0,0
Lexington-Fayette,KY,1600000US2146027,0.30749086,0.297300167,0.317681554,0.30102269,0.706422356,0.419149155,0.282335327,0.721115087,0.25399705,3533.333333,1215013.739,0,0
Lincoln,NE,1600000US3128000,0.356057941,0.363690388,0.348425494,0.427395046,0.70001427,0.457115163,0.135642836,0.683275637,0.552427016,3753658.375,600574.5832,0.0027322,0.054644
Little Rock,AR,1600000US0541000,0.24870139,0.327062964,0.170339817,0.445910244,0.791784316,0.493415285,0.189415458,0.639448087,0.651382311,253657.4444,481159.2003,0,0
Long Beach,CA,1600000US0643000,0.313204456,0.536904638,0.089504273,0.609460157,0.535650881,0.372098913,0.143223048,0.514451968,0.458621724,2068550,888175.1219,0.0027322,0.054644
Los Angeles,CA,1600000US0644000,0.544584898,0.567363259,0.521806537,0.565552384,0.430825866,0.432205733,0.126388798,0.591096006,0.579132396,0,624275.3926,0.0027322,0.054644
Lowell,MA,1600000US2537000,0.502109827,0.589239279,0.414980375,0.586770859,0.408292301,0.570406004,0.670011953,0.428194901,0.613011159,14242,769596.2015,0,0
Lubbock,TX,1600000US4845000,0.302089875,0.403110232,0.201069519,0.433128098,0.626907635,0.391391597,0.166432245,0.39910827,0.608634276,857001.85,1056284.007,0,0
Madison,WI,1600000US5548000,0.386151288,0.39349302,0.378809556,0.354598219,0.567612179,0.82765076,0.716747775,0.825323393,0.940881112,9618.125,431490.8874,0.0081967,0.163934
Manchester,NH,1600000US3345140,0.238915464,0.364302743,0.113528185,0.451224558,0.722619072,0.561817497,0.754708711,0.62296048,0.3077833,42740.2,2927611.366,0,0
McAllen,TX,1600000US4845384,0.468770045,0.604745082,0.332795008,0.457633771,0.248143607,0.315183058,0.123251854,0.501139175,0.321158146,329793.3333,634008.4632,0.0027322,0.054644
McKinney,TX,1600000US4845744,0.333973879,0.399843169,0.268104589,0.216727714,0.417041377,0.719238178,0.773040411,0.728812264,0.65586186,0,1537565.931,0,0
Memphis,TN,1600000US4748000,0.359857272,0.527817081,0.191897463,0.570257111,0.51462295,0.48256939,0.442806202,0.629948881,0.374953088,50079243.85,1218596.316,0,0
Mesa,AZ,1600000US0446000,0.405326726,0.517772904,0.292880549,0.553048,0.517502192,0.542833659,0.341377157,0.674175789,0.612948032,293342.5455,195296.8364,0.0027322,0.054644
Mesquite,TX,1600000US4847892,0.691189517,0.651760924,0.73061811,0.3802317,0.076709852,0.401406491,0.260446728,0.348236101,0.595536644,13158.66667,2301280.801,0,0
Miami,FL,1600000US1245000,0.683105688,0.525367399,0.840843977,0.627893277,0.577158479,0.396088838,0.105738614,0.519989749,0.562538151,1254.235294,824899.0154,0,0
Miami Gardens,FL,1600000US1245060,0.240426074,0.480852147,0,0.509685663,0.547981369,0.412011012,0.442450027,0.377928672,0.415654336,0,2984489.332,0,0
Midland,TX,1600000US4848072,0.336427661,0.599140865,0.073714457,0.359382285,0.161100556,0.363790086,0.218325708,0.273308851,0.5997357,33305.06383,1056816.749,0.010929,0.21858
Milwaukee,WI,1600000US5553000,0.326036594,0.566177447,0.08589574,0.687112078,0.554757184,0.680879301,0.483449585,0.681365152,0.877823166,1257333,3025497.981,0.0027322,0.054644
Minneapolis,MN,1600000US2743000,0.470621512,0.349578179,0.591664844,0.543897064,0.844740706,0.720738047,0.713037361,0.764117798,0.685058981,53165.75,372392.5097,0,0
Miramar,FL,1600000US1245975,0.60658987,0.619002931,0.594176808,0.322529714,0.084523853,0.365769394,0.233696366,0.5409573,0.322654515,NA,647643.1399,0,0
Mobile,AL,1600000US0150000,0.316552529,0.357556907,0.275548151,0.512023511,0.796909697,0.535057273,0.44629603,0.64141785,0.51745794,111229.8333,468021.2776,0,0
Modesto,CA,1600000US0648354,0.374378006,0.453649156,0.295106856,0.599617766,0.692319454,0.339365883,0.180585896,0.543674541,0.293837211,NA,512073.6159,0.010929,0.21858
