City,State,Geo.ID,Overall Risk,Overall Readiness
Cincinnati,OH,1600000US3915000,0.413955246,0.620874961
Clarksville,TN,1600000US4715160,0.301287161,0.451087427
Clearwater,FL,1600000US1212875,0.549099122,0.412024034
Cleveland,OH,1600000US3916000,0.499569352,0.416387163
Colorado Springs,CO,1600000US0816000,0.293126992,0.398222508
Columbia (MO),MO,1600000US2915670,0.234093888,0.534312801
Columbia (SC),SC,1600000US4516000,0.202545089,0.614766429
Columbus (GA),GA,1600000US1319000,0.261405182,0.387876371
Columbus (OH),OH,1600000US3918000,0.407125429,0.593520549
Concord,CA,1600000US0616000,0.393421712,0.47384472
Coral Springs,FL,1600000US1214400,0.548257126,0.552996518
Corona,CA,1600000US0616350,0.472505181,0.247623977
Corpus Christi,TX,1600000US4817000,0.393408448,0.380992681
Costa Mesa,CA,1600000US0616532,0.454029634,0.337248866
Dallas,TX,1600000US4819000,0.368832287,0.418562885
Daly City,CA,1600000US0617918,0.510485535,0.534114172
Davenport,IA,1600000US1919000,0.329197377,0.460510809
Dayton,OH,1600000US3921000,0.336599958,0.520573032
Denton,TX,1600000US4819972,0.320711049,0.529783864
Denver,CO,1600000US0820000,0.382154035,0.57001535
Des Moines,IA,1600000US1921000,0.376392041,0.434047652
Detroit,MI,1600000US2622000,0.538895918,0.451947239
Downey,CA,1600000US0619766,0.630874236,0.341561524
Durham,NC,1600000US3719000,0.259488361,0.710496937
El Monte,CA,1600000US0622230,0.651690686,0.20909742
El Paso,TX,1600000US4824000,0.371589923,0.43593257
Elgin,IL,1600000US1723074,0.372893483,0.460864566
Elizabeth,NJ,1600000US3421000,0.668507591,0.392272899
Elk Grove,CA,1600000US0622020,0.270948017,0.460853311
Escondido,CA,1600000US0622804,0.482343375,0.478647299
Eugene,OR,1600000US4123850,0.450776153,0.562209764
Evansville,IN,1600000US1822000,0.391937862,0.406470672
Everett,WA,1600000US5322640,0.349187667,0.445297637
Fairfield,CA,1600000US0623182,0.322369475,0.360597343
Fargo,ND,1600000US3825700,0.343379918,0.558682393
Fayetteville,NC,1600000US3722920,0.313837334,0.576792742
Fontana,CA,1600000US0624680,0.441365741,0.164831094
Fort Collins,CO,1600000US0827425,0.314191045,0.620968316
Fort Lauderdale,FL,1600000US1224000,0.619411614,0.558826124
Fort Wayne,IN,1600000US1825000,0.386084416,0.519859446
Fort Worth,TX,1600000US4827000,0.305969255,0.500303636
Fremont,CA,1600000US0626000,0.282861968,0.61544201
Fresno,CA,1600000US0627000,0.490582834,0.40195897
Frisco,TX,1600000US4827684,0.221693497,0.730572764
Fullerton,CA,1600000US0628000,0.485034974,0.424138935
Gainesville,FL,1600000US1225175,0.275294928,0.434745583
Garden Grove,CA,1600000US0629000,0.663677534,0.30068269
Garland,TX,1600000US4829000,0.489365348,0.32816299
Glendale (AZ),AZ,1600000US0427820,0.404718362,0.497941398
Glendale (CA),CA,1600000US0630000,0.543573978,0.269990035
Grand Prairie,TX,1600000US4830464,0.358646749,0.315298461
Grand Rapids,MI,1600000US2634000,0.468778212,0.608546233
Green Bay,WI,1600000US5531000,0.38221422,0.501643535
Greensboro,NC,1600000US3728000,0.333758045,0.674690774
Gresham,OR,1600000US4131250,0.475601138,0.560590864
Hampton,VA,1600000US5135000,0.428592937,0.382084315
Hartford,CT,1600000US0937000,0.596419197,0.439478692
Hayward,CA,1600000US0633000,0.473513487,0.543276469
Henderson,NV,1600000US3231900,0.268058338,0.57268278
Hialeah,FL,1600000US1230000,0.780896613,0.282089943
High Point,NC,1600000US3731400,0.313798278,0.568322353
Hollywood,FL,1600000US1232000,0.605714551,0.37736684
Honolulu,HI,1600000US1571550,0.442589463,0.416499671
Houston,TX,1600000US4835000,0.43318878,0.532211565
Huntington Beach,CA,1600000US0636000,0.517028041,0.539217591
Huntsville,AL,1600000US0137000,0.259192364,0.552900799
Independence,MO,1600000US2935000,0.344115606,0.39149325
Indianapolis,IN,1600000US1836003,0.351137535,0.514230256
Inglewood,CA,1600000US0636546,0.717925545,0.283695944
Irvine,CA,1600000US0636770,0.290274877,0.381780673
Irving,TX,1600000US4837000,0.451475495,0.367307882
Jackson,MS,1600000US2836000,0.379083344,0.48514008
Jacksonville,FL,1600000US1235000,0.40615572,0.456647484
Jersey City,NJ,1600000US3436000,0.623561734,0.462040644
Joliet,IL,1600000US1738570,0.356548762,0.429560362
Kansas City (KS),KS,1600000US2036000,0.317307948,0.314061111
Kansas City (MO),MO,1600000US2938000,0.335294725,0.599923666
Kent,WA,1600000US5335415,0.462844967,0.703088706
Killeen,TX,1600000US4839148,0.345881235,0.311354369
Knoxville,TN,1600000US4740000,0.348303176,0.538188501
Lafayette,LA,1600000US2240735,0.297815218,0.303475449
Lakewood,CO,1600000US0843000,0.376497512,0.572383802
Lancaster,CA,1600000US0640130,0.335067597,0.246175526
Lansing,MI,1600000US2646000,0.404563028,0.530031413
Laredo,TX,1600000US4841464,0.444739455,0.363225293
Las Vegas,NV,1600000US3240000,0.468647691,0.50905944
Lexington-Fayette,KY,1600000US2146027,0.204925232,0.419149155
Lincoln,NE,1600000US3128000,0.374907494,0.457115163
Little Rock,AR,1600000US0541000,0.240569059,0.493415285
Long Beach,CA,1600000US0643000,0.584313997,0.372098913
Los Angeles,CA,1600000US0644000,0.606069231,0.432205733
Lowell,MA,1600000US2537000,0.607639868,0.570406004
Lubbock,TX,1600000US4845000,0.340170631,0.391391597
Madison,WI,1600000US5548000,0.316179338,0.82765076
Manchester,NH,1600000US3345140,0.337665729,0.561817497
McAllen,TX,1600000US4845384,0.417542254,0.315183058
McKinney,TX,1600000US4845744,0.302389509,0.719238178
Memphis,TN,1600000US4748000,0.347731023,0.48256939
Mesa,AZ,1600000US0446000,0.431784442,0.542833659
Mesquite,TX,1600000US4847892,0.461621533,0.401406491
Miami,FL,1600000US1245000,0.666515309,0.396088838
Miami Gardens,FL,1600000US1245060,0.476434716,0.412011012
Midland,TX,1600000US4848072,0.368692598,0.363790086
Milwaukee,WI,1600000US5553000,0.526279265,0.680879301
Minneapolis,MN,1600000US2743000,0.588371343,0.720738047
Miramar,FL,1600000US1245975,0.474792185,0.365769394
Mobile,AL,1600000US0150000,0.326825405,0.535057273
Modesto,CA,1600000US0648354,0.554715005,0.339365883
Montgomery,AL,1600000US0151000,0.30478583,0.483647209
Moreno Valley,CA,1600000US0649270,0.463787633,0.231262611
Murfreesboro,TN,1600000US4751560,0.316302276,0.552074374
Murrieta,CA,1600000US0650076,0.361547092,0.368771936
Naperville,IL,1600000US1751622,0.358970485,0.606717388
New Haven,CT,1600000US0952000,0.668582113,0.464417465
New Orleans,LA,1600000US2255000,0.403295185,0.521103265
New York,NY,1600000US3651000,0.588064317,0.465256972
Newark,NJ,1600000US3451000,0.665594299,0.420625141
Newport News,VA,1600000US5156000,0.351009619,0.408655582
Norfolk,VA,1600000US5157000,0.510918891,0.365310401
Norman,OK,1600000US4052500,0.254907919,0.504389886
North Las Vegas,NV,1600000US3251800,0.321432272,0.423037572
Norwalk,CA,1600000US0652526,0.651590804,0.208787033
Oakland,CA,1600000US0653000,0.5070351,0.60214707
Oceanside,CA,1600000US0653322,0.377016048,0.556536801
Oklahoma City,OK,1600000US4055000,0.246948416,0.507795801
Olathe,KS,1600000US2052575,0.307472203,0.545953812
Omaha,NE,1600000US3137000,0.322749957,0.523643004
Ontario,CA,1600000US0653896,0.448566962,0.213578548
Orange,CA,1600000US0653980,0.486876678,0.3804699
Orlando,FL,1600000US1253000,0.267731384,0.480056867
Overland Park,KS,1600000US2053775,0.242034477,0.70865866
Oxnard,CA,1600000US0654652,0.617315121,0.248254257
Palm Bay,FL,1600000US1254000,0.315381024,0.3072111
Palmdale,CA,1600000US0655156,0.321722976,0.237598065
Pasadena (CA),CA,1600000US0656000,0.514989006,0.22542905
Pasadena (TX),TX,1600000US4856000,0.483029164,0.294680744
Paterson,NJ,1600000US3457000,0.772160339,0.377104801
Pembroke Pines,FL,1600000US1255775,0.545936028,0.515040754
Peoria (AZ),AZ,1600000US0454050,0.296491867,0.536359867
Peoria (IL),IL,1600000US1759000,0.302466716,0.64470803
Philadelphia,PA,1600000US4260000,0.571147733,0.570532309
Phoenix,AZ,1600000US0455000,0.37924476,0.478738741
Pittsburgh,PA,1600000US4261000,0.421612998,0.56332298
Plano,TX,1600000US4858016,0.37030713,0.735970256
Pomona,CA,1600000US0658072,0.64575736,0.290655466
Ponce,PR,1600000US7263820,0.409980957,0.413045062
Port St. Lucie,FL,1600000US1258715,0.365494481,0.410216961
Portland (ME),ME,1600000US2360545,0.265913028,0.598917649
Portland (OR),OR,1600000US4159000,0.415818033,0.552539908
Providence,RI,1600000US4459000,0.579827011,0.337168305
Provo,UT,1600000US4962470,0.316290255,0.506526684
Pueblo,CO,1600000US0862000,0.377085971,0.417124155
Raleigh,NC,1600000US3755000,0.311823919,0.713993872
Rancho Cucamonga,CA,1600000US0659451,0.419570931,0.293747668
Reno,NV,1600000US3260600,0.31211844,0.525029258
Richmond (CA),CA,1600000US0660620,0.418855204,0.522149062
Richmond (VA),VA,1600000US5167000,0.39849919,0.460151768
Riverside,CA,1600000US0662000,0.454194963,0.31714882
Rochester (MN),MN,1600000US2754880,0.292818362,0.735489105
Rochester (NY),NY,1600000US3663000,0.525011625,0.548974565
Rockford,IL,1600000US1765000,0.372945878,0.490213039
Roseville,CA,1600000US0662938,0.360524381,0.407103854
Sacramento,CA,1600000US0664000,0.490117021,0.345146817
Salem,OR,1600000US4164900,0.387070847,0.432602073
Salinas,CA,1600000US0664224,0.603156963,0.324397776
Salt Lake City,UT,1600000US4967000,0.357679233,0.526261361
San Antonio,TX,1600000US4865000,0.345669735,0.50610275
San Bernardino,CA,1600000US0665000,0.447822512,0.24822229
San Buenaventura,CA,1600000US0665042,0.451163292,0.283738681
San Diego,CA,1600000US0666000,0.451769232,0.605736509
San Francisco,CA,1600000US0667000,0.562274366,0.684463672
San Jose,CA,1600000US0668000,0.486458803,0.645898149
San Juan,PR,1600000US7276770,0.498956096,0.385985588
Santa Ana,CA,1600000US0669000,0.796363983,0.291458765
Santa Clara,CA,1600000US0669084,0.531653118,0.514886758
Santa Clarita,CA,1600000US0669088,0.393549836,0.345080214
Santa Rosa,CA,1600000US0670098,0.51525489,0.429459843
Savannah,GA,1600000US1369000,0.382622347,0.446266152
Scottsdale,AZ,1600000US0465000,0.22965609,0.60728008
Seattle,WA,1600000US5363000,0.52159415,0.759017637
Shreveport,LA,1600000US2270000,0.356972814,0.4649911
Simi Valley,CA,1600000US0672016,0.394094615,0.389418974
Sioux Falls,SD,1600000US4659020,0.286740238,0.437545872
South Bend,IN,1600000US1871000,0.409309586,0.402283358
Spokane,WA,1600000US5367000,0.43738095,0.559129455
Springfield (IL),IL,1600000US1772000,0.309947876,0.533423591
Springfield (MA),MA,1600000US2567000,0.486587629,0.43469248
Springfield (MO),MO,1600000US2970000,0.328761073,0.505702796
St. Louis,MO,1600000US2965000,0.501312014,0.536212474
St. Paul,MN,1600000US2758000,0.54459719,0.653543029
St. Petersburg,FL,1600000US1263000,0.44868033,0.44461467
Stamford,CT,1600000US0973000,0.353014366,0.558631895
Sterling Heights,MI,1600000US2676460,0.36572193,0.461112059
Stockton,CA,1600000US0675000,0.530549069,0.395892638
Sunnyvale,CA,1600000US0677000,0.499029935,0.609705123
Surprise,AZ,1600000US0471510,0.276879251,0.447137797
Syracuse,NY,1600000US3673000,0.489206638,0.40576994
Tacoma,WA,1600000US5370000,0.452098419,0.430133407
Tallahassee,FL,1600000US1270600,0.336540648,0.465954013
Tampa,FL,1600000US1271000,0.342458926,0.401614748
Temecula,CA,1600000US0678120,0.316953968,0.354451172
Tempe,AZ,1600000US0473000,0.457646164,0.448551085
Thornton,CO,1600000US0877290,0.368631352,0.506756392
Thousand Oaks,CA,1600000US0678582,0.31366456,0.484701354
Toledo,OH,1600000US3977000,0.441441649,0.471459683
Topeka,KS,1600000US2071000,0.34094609,0.489303472
Torrance,CA,1600000US0680000,0.540367187,0.350724089
Tucson,AZ,1600000US0477000,0.380975797,0.599583538
Tulsa,OK,1600000US4075000,0.351259236,0.472237637
Vallejo,CA,1600000US0681666,0.466573429,0.319354341
Vancouver,WA,1600000US5374060,0.408526889,0.56869357
Victorville,CA,1600000US0682590,0.350733675,0.289290042
Virginia Beach,VA,1600000US5182000,0.341684848,0.469238388
Visalia,CA,1600000US0682954,0.515627111,0.327525035
Waco,TX,1600000US4876000,0.402176713,0.375346653
Warren,MI,1600000US2684000,0.452754692,0.413131001
Washington,DC,1600000US1150000,0.503767877,0.529712519
Waterbury,CT,1600000US0980000,0.459647538,0.491355707
West Covina,CA,1600000US0684200,0.581359617,0.310579726
West Jordan,UT,1600000US4982950,0.419338192,0.472833823
West Palm Beach,FL,1600000US1276600,0.425047614,0.417229382
West Valley City,UT,1600000US4983470,0.505457289,0.319638533
Westminster,CO,1600000US0883835,0.32561048,0.538916325
Wichita,KS,1600000US2079000,0.39089834,0.511024615
Wichita Falls,TX,1600000US4879000,0.329504628,0.310395176
Wilmington (DE),DE,1600000US1077580,0.617087552,0.581270766
Wilmington (NC),NC,1600000US3774440,0.404435944,0.602949893
Winston-Salem,NC,1600000US3775000,0.317721733,0.580652704
Worcester,MA,1600000US2582000,0.467050213,0.432551793
Yonkers,NY,1600000US3684000,0.607546747,0.504108969
